label,centroid
73,"[ 0.35631045  1.01114927 -1.20611521 -0.29964273 -1.1565513  -1.18127642
 -0.99256964 -0.99825396 -0.17966827 -1.00092551 -0.80309883 -0.80292609
 -0.61997504 -0.1820163  -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.58788816]"
74,"[ 0.14207046  0.38582142 -0.31707359 -0.90048877  0.44495579 -0.6059762
  0.36861957 -0.11319439 -0.54810792  0.11086671  0.34236683  0.64104135
  0.44357961 -0.1820163  -0.44841565 -0.28988732  0.19550995 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.55535022  0.58788816]"
75,"[-1.46699075 -0.8265166   0.14673631 -0.24117241  0.28893865 -0.89362631
 -0.07907619 -0.10906274  0.33062037  0.26991631  0.05433421  0.16857059
 -0.0745605  -0.18165364 -0.52718705 -0.46822855  0.46784568  2.56374136
 -0.39803824 -0.40758223  0.50988246  0.55653699  0.58788816]"
76,"[-1.47243397 -1.0941201   0.89527078  0.83966641  0.12357499  0.3504696
 -0.20494344  0.27543462  0.75455041  0.05227201 -0.15443027  0.05528098
 -0.26976931 -0.1820163  -0.57183038  1.01759141  0.61320617 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
77,"[ 0.53701939  0.29428474  1.92394915  0.98028463  0.62482248 -0.6059762
 -0.33578469  0.61436798  0.72217204  0.65364448  0.02198035 -0.09954396
 -0.17051843 -0.18009235 -0.49566643 -0.18476478  0.42328456 -0.39005495
  2.51232137 -0.40758223  0.50718834  0.55653699  0.57250169]"
78,"[ 2.33170110e-01  9.41031022e-01  1.17491997e+00  1.45928720e-03
  1.03915644e+00 -6.05976201e-01 -3.40366756e-01  2.33173565e-01
  4.56069603e-01  1.72413884e+00  5.52181610e-01 -1.02380696e-01
  2.05914412e-01 -1.82016297e-01 -4.76021344e-01 -2.00066055e-01
  3.89558865e-01 -3.90054946e-01  2.51232137e+00  2.45349264e+00
  5.10508241e-01  5.55114155e-01  5.85120459e-01]"
79,"[ 0.41659269  0.26397508  0.37044996  0.17365943  0.17858666 -0.31832609
  1.06922828  1.59875584  0.60863019  1.23922579  2.73954965  1.41709611
  1.40826121 -0.16332461  0.38799241 -0.44804524 -0.37742521 -0.39005495
 -0.39803824  2.45349264  0.47825458  0.40284297  0.58549643]"
80,"[-1.50490922 -0.96699236  0.28152294  0.65147501 -0.16704395  0.38764498
  0.7668257   0.8708967   0.75290015  0.05119067  0.67045116  1.12629637
  0.18044855 -0.1820163  -0.56050726  0.98440998  0.55920075 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.54655907  0.56293356]"
81,"[-0.86958759 -0.69153792 -0.63666789 -0.18984863 -0.54148208  1.81850329
 75.01657437 35.96678937  0.38991734 -1.00903671 -0.80597648 -0.80691021
 -0.62217449 -0.1820163  -0.35778329  2.19302297  0.29034802 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.42439588]"
82,"[ 0.65926005 -0.58817147 -0.40563048 -0.71527747  0.04197578  0.2464585
  0.02426693 -0.37860714 -0.18610131  0.08363601  0.05321035  0.31502085
  0.03039381 -0.1820163  -0.55535797  0.81392394  0.53402682 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.58788816]"
